Målernummer;Dato;Time;Forbruk;Max
7.07058E+17;02.12.2022;Totalt;950;54
7.07058E+17;02.12.2022;23;45.4;
7.07058E+17;02.12.2022;22;44.4;
7.07058E+17;02.12.2022;21;48.2;
7.07058E+17;02.12.2022;20;47.8;
7.07058E+17;02.12.2022;19;54;
7.07058E+17;02.12.2022;18;53.6;
7.07058E+17;02.12.2022;17;51.6;
7.07058E+17;02.12.2022;16;46.6;
7.07058E+17;02.12.2022;15;52.2;
7.07058E+17;02.12.2022;14;41.6;
7.07058E+17;02.12.2022;13;34.2;
7.07058E+17;02.12.2022;12;39;
7.07058E+17;02.12.2022;11;35.8;
7.07058E+17;02.12.2022;10;34.6;
7.07058E+17;02.12.2022;9;30.8;
7.07058E+17;02.12.2022;8;34.8;
7.07058E+17;02.12.2022;7;32;
7.07058E+17;02.12.2022;6;32.6;
7.07058E+17;02.12.2022;5;32.4;
7.07058E+17;02.12.2022;4;30.2;
7.07058E+17;02.12.2022;3;32.8;
7.07058E+17;02.12.2022;2;29.4;
7.07058E+17;02.12.2022;1;32.2;
7.07058E+17;02.12.2022;0;33.8;
7.07058E+17;01.12.2022;Totalt;926;49
7.07058E+17;01.12.2022;23;38.4;
7.07058E+17;01.12.2022;22;36.2;
7.07058E+17;01.12.2022;21;39.4;
7.07058E+17;01.12.2022;20;42.6;
7.07058E+17;01.12.2022;19;46.4;
7.07058E+17;01.12.2022;18;49;
7.07058E+17;01.12.2022;17;48.4;
7.07058E+17;01.12.2022;16;47.4;
7.07058E+17;01.12.2022;15;44.8;
7.07058E+17;01.12.2022;14;43;
7.07058E+17;01.12.2022;13;46.8;
7.07058E+17;01.12.2022;12;41.6;
7.07058E+17;01.12.2022;11;46.2;
7.07058E+17;01.12.2022;10;39.8;
7.07058E+17;01.12.2022;9;38.6;
7.07058E+17;01.12.2022;8;31.8;
7.07058E+17;01.12.2022;7;33.2;
7.07058E+17;01.12.2022;6;32.6;
7.07058E+17;01.12.2022;5;29.8;
7.07058E+17;01.12.2022;4;29.2;
7.07058E+17;01.12.2022;3;32.6;
7.07058E+17;01.12.2022;2;29.6;
7.07058E+17;01.12.2022;1;29.2;
7.07058E+17;01.12.2022;0;29.4;
7.07058E+17;30.11.2022;Totalt;876.6;48.4
7.07058E+17;30.11.2022;23;34.4;
7.07058E+17;30.11.2022;22;36.8;
7.07058E+17;30.11.2022;21;36.6;
7.07058E+17;30.11.2022;20;44.8;
